CustomerID,recency,frequency,monetary_value
12346,325,1,77183.6
12347,2,182,4310.000000000001
12348,75,31,1797.24
12349,18,73,1757.5500000000002
12350,310,17,334.40000000000003
12352,36,85,2506.0400000000004
12353,204,4,89.0
12354,232,58,1079.3999999999999
12355,214,13,459.4
12356,22,59,2811.43
12357,33,131,6207.67
12358,1,19,1168.06
12359,57,245,6310.030000000001
12360,52,129,2662.06
12361,287,10,189.89999999999998
12362,3,266,5226.23
12363,109,23,552.0
12364,7,85,1313.1000000000001
12365,291,22,641.3799999999999
12367,4,11,168.89999999999998
12370,51,166,3541.94
12371,44,63,1887.96
12372,71,52,1298.0400000000002
12373,311,14,364.6
12374,25,33,742.93
12375,10,17,457.5
12377,315,77,1628.12
12378,129,219,4008.62
12379,81,40,852.24
12380,21,104,2724.8100000000004
12381,4,87,1845.3100000000004
12383,184,99,1850.5600000000002
12384,28,27,585.2700000000001
12386,337,10,401.9
12388,15,100,2780.6600000000003
12390,79,32,549.84
12391,21,93,439.66
12393,72,64,1582.6000000000001
12394,63,27,1272.48
12395,19,156,3018.63
12397,35,126,2409.9000000000005
12398,45,85,1635.6599999999999
12399,119,59,1108.65
12401,303,5,84.3
12402,323,11,225.6
12403,49,5,427.7
12405,148,54,1710.3900000000003
12406,22,105,3415.3
12407,49,77,1708.1199999999997
12408,32,105,2888.55
12409,78,109,11072.67
12410,308,26,693.3299999999999
12412,74,61,1226.88
12413,66,38,758.1
12414,217,18,562.41
12415,24,716,124914.53
12417,3,192,3649.1000000000004
12418,112,34,668.58
12420,63,29,600.3900000000001
12421,15,45,807.0400000000001
12422,95,39,803.5599999999998
12423,0,125,1859.3100000000002
12424,162,30,1760.9599999999996
12425,78,36,777.1999999999999
12426,194,30,582.73
12427,21,31,825.8
12428,25,294,7956.46
12429,9,97,3750.4
12430,43,11,256.4
12431,35,235,6419.950000000001
12432,42,108,5059.319999999999
12433,0,420,13375.87
12434,84,50,806.14
12435,79,36,7829.89
12436,99,16,509.01000000000005
12437,1,200,4951.41
12438,14,98,2906.8500000000004
12441,366,11,173.55
12442,3,12,172.06
12444,21,177,5005.46
12445,22,4,133.4
12446,57,58,1002.3100000000001
12447,243,26,476.49
12448,44,22,449.4500000000001
12449,22,191,4067.2900000000004
12450,156,8,197.88
12451,10,354,9035.52
12452,16,22,430.57
12453,134,43,707.0899999999999
12454,56,15,3528.34
12455,73,90,2466.8599999999997
12456,44,125,3181.04
12457,66,63,2363.23
12458,71,38,947.4
12461,94,35,826.88
12462,18,62,1189.5900000000001
12463,53,83,1344.7800000000002
12464,10,29,1212.0499999999997
12465,17,47,742.19
12468,187,38,729.54
12471,2,459,19788.65
12472,32,339,6572.110000000001
12473,29,167,3928.05
12474,17,422,7324.089999999999
12475,53,36,723.3799999999999
12476,15,233,6816.42
12477,22,300,13219.740000000002
12478,3,36,680.9900000000001
12479,11,31,527.2
12480,28,154,3281.6299999999997
12481,22,216,5579.82
12483,17,75,2484.98
12484,32,343,4527.32
12488,9,55,1298.6600000000003
12489,336,15,334.92999999999995
12490,5,245,5417.93
12491,38,26,460.40000000000003
12492,63,20,263.21
12493,165,22,433.74
12494,15,77,1246.1
12497,81,14,1043.1
12498,21,23,403.7
12500,23,61,4257.820000000001
12501,336,149,2169.3900000000003
12502,95,147,3723.87
12504,18,9,482.04999999999995
12506,232,23,73.50000000000001
12507,134,22,1304.81
12508,26,68,397.88
12509,284,7,176.5
12510,142,33,982.5699999999999
12512,66,31,132.18
12513,112,35,612.2900000000001
12514,267,51,1017.6800000000001
12515,353,16,383.70000000000005
12516,77,26,1312.06
12517,28,279,2481.6
12518,0,124,2056.89
12519,63,17,330.84
12520,79,152,2634.26
12521,142,38,599.68
12522,39,12,192.72000000000003
12523,19,106,1789.77
12524,9,144,4485.719999999999
12526,0,71,1316.6600000000003
12527,81,18,348.71000000000004
12528,9,92,1933.4800000000002
12530,59,66,1662.28
12531,14,17,125.22
12532,30,16,349.83000000000004
12534,130,63,1089.18
12535,91,34,716.35
12536,43,261,12601.830000000002
12538,29,21,363.95
12539,22,273,5568.35
12540,19,478,13400.240000000002
12541,29,52,981.1800000000002
12544,36,19,372.70000000000005
12545,75,50,1000.39
12546,46,69,1161.5
12547,197,8,207.79999999999998
12548,166,5,95.19999999999999
12550,79,57,964.83
12551,357,10,168.0
12552,38,20,437.81999999999994
12553,8,191,3692.2799999999997
12556,50,119,599.56
12557,16,33,11990.96
12558,7,11,269.96000000000004
12559,310,21,561.7099999999999
12560,5,105,2134.01
12561,302,16,238.85
12562,8,168,3781.74
12564,261,21,456.90000000000003
12565,288,9,145.92000000000002
12566,86,19,351.65
12567,22,446,9401.28
12569,2,188,4124.6900000000005
12571,39,34,519.61
12572,8,60,1020.42
12573,227,28,160.54
12574,315,11,218.45000000000002
12576,35,88,1315.83
12577,35,146,626.5999999999999
12578,21,114,2794.5099999999998
12579,78,29,440.41999999999996
12580,246,24,415.70000000000005
12581,39,15,197.70999999999998
12582,238,22,511.3599999999999
12583,2,247,7281.379999999999
12584,3,96,2338.1500000000005
12585,234,87,2040.0999999999997
12586,17,11,196.94000000000003
12587,7,4,144.0
12588,39,10,214.89999999999998
12589,28,35,646.6800000000001
12590,211,68,9864.26
12591,317,26,452.84999999999997
12592,92,18,437.6
12593,108,21,418.0999999999999
12594,37,118,3338.2200000000003
12596,51,27,618.27
12597,19,206,3811.2199999999993
12598,9,132,3023.08
12599,29,62,1032.5800000000004
12600,28,64,2599.04
12601,189,28,577.0600000000001
12602,58,12,153.12
12603,21,3,739.1999999999999
12604,79,16,254.17999999999998
12607,60,101,1579.51
12609,78,60,1126.8500000000001
12610,22,106,2099.54
12611,52,65,1193.32
12612,74,19,704.04
12613,57,153,3344.38
12614,277,20,315.59999999999997
12615,2,105,2291.1899999999996
12616,95,32,713.3
12617,29,41,352.97999999999996
12618,21,11,177.31
12619,16,90,3641.24
12620,14,92,1339.41
12621,1,467,13689.669999999998
12622,232,11,180.09999999999997
12623,276,18,305.1
12624,106,38,641.13
12625,211,86,2683.82
12626,23,294,6620.48
12627,10,230,4478.530000000001
12628,4,41,786.4599999999999
12630,9,64,1270.88
12631,57,31,640.5
12633,58,101,2163.98
12635,89,101,1689.1800000000003
12637,67,382,6002.9
12638,33,39,671.69
12639,238,22,486.1
12640,23,53,1174.58
12641,115,10,185.9
12642,25,47,1013.26
12643,128,24,3344.6399999999994
12644,129,31,477.90999999999997
12645,33,73,1775.1800000000003
12646,4,45,1346.97
12647,22,122,3722.82
12648,154,21,318.04999999999995
12649,107,31,623.51
12650,3,20,314.44
12651,334,9,114.0
12652,331,48,919.98
12653,148,43,2209.85
12654,10,38,601.9799999999999
12656,17,126,4051.17
12657,11,47,1643.18
12658,18,36,686.05
12659,29,5,91.68
12660,11,13,245.10000000000002
12662,0,230,3849.7799999999997
12664,8,37,4881.88
12665,324,3,63.0
12667,58,33,620.1300000000001
12668,11,161,3807.15
12669,150,101,2744.03
12670,10,92,2996.05
12672,329,10,225.9
12673,5,42,610.52
12674,38,83,1970.6000000000001
12676,24,45,1331.39
12678,42,165,17628.46
12679,58,48,1113.02
12680,0,52,862.8100000000002
12681,14,638,13787.54
12682,3,524,12279.82
12683,4,344,8476.57
12684,7,105,2283.63
12685,28,157,2863.08
12686,371,7,89.14
12688,113,171,4873.8099999999995
12689,25,72,1247.61
12690,205,16,389.01
12691,28,32,1035.8
12693,127,39,855.91
12694,70,37,869.67
12695,7,27,582.1
12697,28,41,957.5899999999999
12700,7,268,4939.99
12701,79,53,797.71
12702,19,12,219.0
12703,71,21,283.55
12704,7,88,2340.8399999999997
12705,15,334,6868.290000000001
12707,291,33,603.42
12708,29,157,2712.91
12709,15,207,9706.52
12710,96,77,1149.0200000000002
12712,28,133,4396.13
12713,0,38,848.5500000000001
12714,9,259,4708.860000000001
12715,106,20,343.35999999999996
12716,3,69,1053.4900000000002
