,CustomerID,recency,frequency,monetary_value,Quantity,Country,R_Quartile,F_Quartile,M_Quartile,RFMClass,Total Score
0,12346,325,1,77183.6,74215,United Kingdom,4,4,1,441,9
1,12347,2,182,4310.000000000001,2458,Iceland,1,1,1,111,3
2,12348,75,31,1797.24,2341,Finland,3,3,1,331,7
3,12349,18,73,1757.5500000000002,631,Italy,2,2,1,221,5
4,12350,310,17,334.40000000000003,197,Norway,4,4,3,443,11
5,12352,36,85,2506.0400000000004,536,Norway,2,2,1,221,5
6,12353,204,4,89.0,20,Bahrain,4,4,4,444,12
7,12354,232,58,1079.4,530,Spain,4,2,2,422,8
8,12355,214,13,459.4,240,Bahrain,4,4,3,443,11
9,12356,22,59,2811.43,1591,Portugal,2,2,1,221,5
10,12357,33,131,6207.67,2708,Switzerland,2,1,1,211,4
11,12358,1,19,1168.06,248,Austria,1,3,2,132,6
12,12359,57,245,6310.030000000001,1609,Cyprus,3,1,1,311,5
13,12360,52,129,2662.06,1165,Austria,3,1,1,311,5
14,12361,287,10,189.9,91,Belgium,4,4,4,444,12
15,12362,3,266,5226.23,2229,Belgium,1,1,1,111,3
16,12363,109,23,552.0,408,Unspecified,3,3,3,333,9
17,12364,7,85,1313.1,1506,Belgium,1,2,2,122,5
18,12365,291,22,641.3799999999999,174,Cyprus,4,3,3,433,10
19,12367,4,11,168.89999999999998,173,Denmark,1,4,4,144,9
20,12370,51,166,3541.94,2352,Cyprus,3,1,1,311,5
21,12371,44,63,1887.96,591,Switzerland,2,2,1,221,5
22,12372,71,52,1298.0400000000002,794,Denmark,3,2,2,322,7
23,12373,311,14,364.6,197,Austria,4,4,3,443,11
24,12374,25,33,742.93,342,Austria,2,3,2,232,7
25,12375,10,17,457.5,178,Finland,1,4,3,143,8
26,12377,315,77,1628.12,944,Switzerland,4,2,2,422,8
27,12378,129,219,4008.62,2529,Switzerland,3,1,1,311,5
28,12379,81,40,852.24,407,Belgium,3,3,2,332,8
29,12380,21,104,2724.8100000000004,1127,Belgium,2,1,1,211,4
30,12381,4,87,1845.3100000000004,808,Norway,1,2,1,121,4
31,12383,184,99,1850.56,1532,Belgium,4,1,1,411,6
32,12384,28,27,585.2700000000001,126,Switzerland,2,3,3,233,8
33,12386,337,10,401.9,354,Australia,4,4,3,443,11
34,12388,15,100,2780.6600000000003,1462,Australia,1,1,1,111,3
35,12390,79,32,549.84,353,Belgium,3,3,3,333,9
36,12391,21,93,439.66,293,Cyprus,2,2,3,223,7
37,12393,72,64,1582.6,816,Australia,3,2,2,322,7
38,12394,63,27,1272.48,819,Denmark,3,3,2,332,8
39,12395,19,156,3018.63,2118,Belgium,2,1,1,211,4
40,12397,35,126,2409.9000000000005,1263,Belgium,2,1,1,211,4
41,12398,45,85,1635.66,1394,Switzerland,2,2,2,222,6
42,12399,119,59,1108.65,1178,Belgium,3,2,2,322,7
43,12401,303,5,84.3,11,Belgium,4,4,4,444,12
44,12402,323,11,225.6,94,Belgium,4,4,4,444,12
45,12403,49,5,427.7,96,Denmark,2,4,3,243,9
46,12405,148,54,1710.3900000000003,857,Finland,4,2,1,421,7
47,12406,22,105,3415.3,1818,Denmark,2,1,1,211,4
48,12407,49,77,1708.1199999999997,1416,Belgium,2,2,1,221,5
49,12408,32,105,2888.55,1409,Belgium,2,1,1,211,4
50,12409,78,109,11072.67,5551,Switzerland,3,1,1,311,5
51,12410,308,26,693.3299999999999,211,Switzerland,4,3,2,432,9
52,12412,74,61,1226.88,829,Denmark,3,2,2,322,7
53,12413,66,38,758.1,286,France,3,3,2,332,8
54,12414,217,18,562.41,300,Austria,4,3,3,433,10
55,12415,24,716,124914.53,77670,Australia,2,1,1,211,4
56,12417,3,192,3649.1,1552,Spain,1,1,1,111,3
57,12418,112,34,668.58,407,Switzerland,3,3,2,332,8
58,12420,63,29,600.3900000000001,345,Cyprus,3,3,3,333,9
59,12421,15,45,807.0400000000001,484,Spain,1,2,2,122,5
60,12422,95,39,803.5599999999998,370,Switzerland,3,3,2,332,8
61,12423,0,125,1859.31,1339,Belgium,1,1,1,111,3
62,12424,162,30,1760.9599999999996,740,Australia,4,3,1,431,8
63,12425,78,36,777.1999999999999,496,Portugal,3,3,2,332,8
64,12426,194,30,582.73,258,Germany,4,3,3,433,10
65,12427,21,31,825.8,533,Germany,2,3,2,232,7
66,12428,25,294,7956.46,3536,Finland,2,1,1,211,4
67,12429,9,97,3750.4,1557,Denmark,1,2,1,121,4
68,12430,43,11,256.4,117,Norway,2,4,4,244,10
69,12431,35,235,6419.950000000001,2908,Belgium,2,1,1,211,4
70,12432,42,108,5059.319999999999,1801,Norway,2,1,1,211,4
71,12433,0,420,13375.87,11071,Norway,1,1,1,111,3
72,12434,84,50,806.14,394,Australia,3,2,2,322,7
73,12435,79,36,7829.89,2055,Denmark,3,3,1,331,7
74,12436,99,16,509.0100000000001,211,Norway,3,4,3,343,10
75,12437,1,200,4951.41,2923,France,1,1,1,111,3
76,12438,14,98,2906.8500000000004,1180,Norway,1,2,1,121,4
77,12441,366,11,173.55,121,France,4,4,4,444,12
78,12442,3,12,172.06,182,Spain,1,4,4,144,9
79,12444,21,177,5005.46,1155,Norway,2,1,1,211,4
80,12445,22,4,133.4,62,Spain,2,4,4,244,10
81,12446,57,58,1002.31,352,RSA,3,2,2,322,7
82,12447,243,26,476.49,190,Belgium,4,3,3,433,10
83,12448,44,22,449.4500000000001,243,Spain,2,3,3,233,8
84,12449,22,191,4067.29,1553,Belgium,2,1,1,211,4
85,12450,156,8,197.88,128,Spain,4,4,4,444,12
86,12451,10,354,9035.52,6575,Switzerland,1,1,1,111,3
87,12452,16,22,430.57,185,Switzerland,1,3,3,133,7
88,12453,134,43,707.0899999999999,473,Austria,3,2,2,322,7
89,12454,56,15,3528.34,1006,Spain,3,4,1,341,8
90,12455,73,90,2466.86,2089,Spain,3,2,1,321,6
91,12456,44,125,3181.04,1633,Switzerland,2,1,1,211,4
92,12457,66,63,2363.23,844,Switzerland,3,2,1,321,6
93,12458,71,38,947.4,506,Switzerland,3,3,2,332,8
94,12461,94,35,826.88,287,Switzerland,3,3,2,332,8
95,12462,18,62,1189.59,536,Spain,2,2,2,222,6
96,12463,53,83,1344.7800000000002,776,Belgium,3,2,2,322,7
97,12464,10,29,1212.0499999999995,112,Belgium,1,3,2,132,6
98,12465,17,47,742.19,479,Belgium,1,2,2,122,5
99,12468,187,38,729.54,366,Germany,4,3,2,432,9
100,12471,2,459,19788.65,8200,Germany,1,1,1,111,3
101,12472,32,339,6572.110000000001,4148,Germany,2,1,1,211,4
102,12473,29,167,3928.05,2414,Germany,2,1,1,211,4
103,12474,17,422,7324.089999999999,4833,Germany,1,1,1,111,3
104,12475,53,36,723.3799999999999,535,Germany,3,3,2,332,8
105,12476,15,233,6816.42,2408,Germany,1,1,1,111,3
106,12477,22,300,13219.740000000002,3653,Germany,2,1,1,211,4
107,12478,3,36,680.9900000000001,236,Greece,1,3,2,132,6
108,12479,11,31,527.2,385,Germany,1,3,3,133,7
109,12480,28,154,3281.63,1707,Germany,2,1,1,211,4
110,12481,22,216,5579.82,3294,Germany,2,1,1,211,4
111,12483,17,75,2484.98,1110,Sweden,1,2,1,121,4
112,12484,32,343,4527.32,2187,Spain,2,1,1,211,4
113,12488,9,55,1298.6600000000003,529,France,1,2,2,122,5
114,12489,336,15,334.92999999999995,105,France,4,4,3,443,11
115,12490,5,245,5417.93,3064,France,1,1,1,111,3
116,12491,38,26,460.4,260,France,2,3,3,233,8
117,12492,63,20,263.21,192,Germany,3,3,4,334,10
118,12493,165,22,433.74,207,France,4,3,3,433,10
119,12494,15,77,1246.1,707,France,1,2,2,122,5
120,12497,81,14,1043.1,1236,Germany,3,4,2,342,9
121,12498,21,23,403.7,159,Germany,2,3,3,233,8
122,12500,23,61,4257.820000000001,2678,Germany,2,2,1,221,5
123,12501,336,149,2169.3900000000003,1783,Germany,4,1,1,411,6
124,12502,95,147,3723.87,820,Spain,3,1,1,311,5
125,12504,18,9,482.05,90,Germany,2,4,3,243,9
126,12506,232,23,73.50000000000001,23,France,4,3,4,434,11
127,12507,134,22,1304.81,905,Spain,3,3,2,332,8
128,12508,26,68,397.88,271,France,2,2,3,223,7
129,12509,284,7,176.5,55,France,4,4,4,444,12
130,12510,142,33,982.57,353,Spain,4,3,2,432,9
131,12512,66,31,132.18,96,Israel,3,3,4,334,10
132,12513,112,35,612.2900000000001,462,France,3,3,3,333,9
133,12514,267,51,1017.68,440,Italy,4,2,2,422,8
134,12515,353,16,383.7000000000001,131,Italy,4,4,3,443,11
135,12516,77,26,1312.06,875,Germany,3,3,2,332,8
136,12517,28,279,2481.6,1361,Germany,2,1,1,211,4
137,12518,0,124,2056.89,1318,Germany,1,1,1,111,3
138,12519,63,17,330.84,175,Germany,3,4,3,343,10
139,12520,79,152,2634.26,1439,Germany,3,1,1,311,5
140,12521,142,38,599.68,309,Germany,4,3,3,433,10
141,12522,39,12,192.72000000000003,194,Germany,2,4,4,244,10
142,12523,19,106,1789.77,865,France,2,1,1,211,4
143,12524,9,144,4485.719999999999,3699,Germany,1,1,1,111,3
144,12526,0,71,1316.6600000000003,632,Germany,1,2,2,122,5
145,12527,81,18,348.71000000000004,234,Germany,3,3,3,333,9
146,12528,9,92,1933.48,756,Germany,1,2,1,121,4
147,12530,59,66,1662.28,913,Germany,3,2,1,321,6
148,12531,14,17,125.22,45,Germany,1,4,4,144,9
149,12532,30,16,349.83000000000004,153,France,2,4,3,243,9
150,12534,130,63,1089.18,651,Germany,3,2,2,322,7
151,12535,91,34,716.35,219,France,3,3,2,332,8
152,12536,43,261,12601.830000000002,2803,France,2,1,1,211,4
153,12538,29,21,363.95,191,Spain,2,3,3,233,8
154,12539,22,273,5568.35,2067,Spain,2,1,1,211,4
155,12540,19,478,13400.240000000002,6685,Spain,2,1,1,211,4
156,12541,29,52,981.1800000000002,680,Spain,2,2,2,222,6
157,12544,36,19,372.7000000000001,136,Spain,2,3,3,233,8
158,12545,75,50,1000.39,523,Spain,3,2,2,322,7
159,12546,46,69,1161.5,633,Spain,2,2,2,222,6
160,12547,197,8,207.8,134,Spain,4,4,4,444,12
161,12548,166,5,95.2,49,Spain,4,4,4,444,12
162,12550,79,57,964.83,569,Spain,3,2,2,322,7
163,12551,357,10,168.0,100,Spain,4,4,4,444,12
164,12552,38,20,437.82,88,Italy,2,3,3,233,8
165,12553,8,191,3692.28,1965,France,1,1,1,111,3
166,12556,50,119,599.56,355,Spain,2,1,3,213,6
167,12557,16,33,11990.96,4384,Spain,1,3,1,131,5
168,12558,7,11,269.96000000000004,196,USA,1,4,4,144,9
169,12559,310,21,561.7099999999999,283,Germany,4,3,3,433,10
170,12560,5,105,2134.01,1110,Germany,1,1,1,111,3
171,12561,302,16,238.85,177,Germany,4,4,4,444,12
172,12562,8,168,3781.74,1779,France,1,1,1,111,3
173,12564,261,21,456.9,133,France,4,3,3,433,10
174,12565,288,9,145.92000000000002,80,Saudi Arabia,4,4,4,444,12
175,12566,86,19,351.65,265,Germany,3,3,3,333,9
176,12567,22,446,9401.28,4305,France,2,1,1,211,4
177,12569,2,188,4124.6900000000005,1801,Germany,1,1,1,111,3
178,12571,39,34,519.61,523,France,2,3,3,233,8
179,12572,8,60,1020.42,452,Germany,1,2,2,122,5
180,12573,227,28,160.54,84,France,4,3,4,434,11
181,12574,315,11,218.45,61,France,4,4,4,444,12
182,12576,35,88,1315.83,967,Poland,2,2,2,222,6
183,12577,35,146,626.5999999999999,469,France,2,1,3,213,6
184,12578,21,114,2794.51,1196,Italy,2,1,1,211,4
185,12579,78,29,440.42,285,France,3,3,3,333,9
186,12580,246,24,415.7000000000001,238,Germany,4,3,3,433,10
187,12581,39,15,197.71,161,Germany,2,4,4,244,10
188,12582,238,22,511.3599999999999,300,Finland,4,3,3,433,10
189,12583,2,247,7281.379999999999,5060,France,1,1,1,111,3
190,12584,3,96,2338.1500000000005,416,Italy,1,2,1,121,4
191,12585,234,87,2040.1,1279,Germany,4,2,1,421,7
192,12586,17,11,196.94000000000003,79,Italy,1,4,4,144,9
193,12587,7,4,144.0,51,Finland,1,4,4,144,9
194,12588,39,10,214.9,53,Finland,2,4,4,244,10
195,12589,28,35,646.6800000000001,306,France,2,3,3,233,8
196,12590,211,68,9864.26,4283,Germany,4,2,1,421,7
197,12591,317,26,452.85,228,Italy,4,3,3,433,10
198,12592,92,18,437.6,290,Germany,3,3,3,333,9
199,12593,108,21,418.0999999999999,206,France,3,3,3,333,9
200,12594,37,118,3338.2200000000003,1777,Italy,2,1,1,211,4
201,12596,51,27,618.27,474,Spain,3,3,3,333,9
202,12597,19,206,3811.2199999999993,2236,Spain,2,1,1,211,4
203,12598,9,132,3023.08,1964,France,1,1,1,111,3
204,12599,29,62,1032.5800000000004,956,France,2,2,2,222,6
205,12600,28,64,2599.04,774,Germany,2,2,1,221,5
206,12601,189,28,577.0600000000001,245,Germany,4,3,3,433,10
207,12602,58,12,153.12,162,France,3,4,4,344,11
208,12603,21,3,739.1999999999999,64,Germany,2,4,2,242,8
209,12604,79,16,254.18,201,France,3,4,4,344,11
210,12607,60,101,1579.51,1228,USA,3,1,2,312,6
211,12609,78,60,1126.85,648,Germany,3,2,2,322,7
212,12610,22,106,2099.54,1049,Italy,2,1,1,211,4
213,12611,52,65,1193.32,846,Italy,3,2,2,322,7
214,12612,74,19,704.04,262,Germany,3,3,2,332,8
215,12613,57,153,3344.38,1644,Germany,3,1,1,311,5
216,12614,277,20,315.6,76,Germany,4,3,3,433,10
217,12615,2,105,2291.19,1376,France,1,1,1,111,3
218,12616,95,32,713.3,284,France,3,3,2,332,8
219,12617,29,41,352.98,210,France,2,3,3,233,8
220,12618,21,11,177.31,96,Italy,2,4,4,244,10
221,12619,16,90,3641.24,3378,Germany,1,2,1,121,4
222,12620,14,92,1339.41,1181,France,1,2,2,122,5
223,12621,1,467,13689.669999999998,7440,Germany,1,1,1,111,3
224,12622,232,11,180.09999999999997,69,Germany,4,4,4,444,12
225,12623,276,18,305.1,191,Germany,4,3,4,434,11
226,12624,106,38,641.13,355,France,3,3,3,333,9
227,12625,211,86,2683.82,1612,Germany,4,2,1,421,7
228,12626,23,294,6620.48,3453,Germany,2,1,1,211,4
229,12627,10,230,4478.530000000001,2752,Germany,1,1,1,111,3
230,12628,4,41,786.4599999999999,448,Germany,1,3,2,132,6
231,12630,9,64,1270.88,548,Finland,1,2,2,122,5
232,12631,57,31,640.5,236,Finland,3,3,3,333,9
233,12633,58,101,2163.98,1162,Germany,3,1,1,311,5
234,12635,89,101,1689.1800000000003,1172,Germany,3,1,1,311,5
235,12637,67,382,6002.9,2994,France,3,1,1,311,5
236,12638,33,39,671.69,577,Sweden,2,3,2,232,7
237,12639,238,22,486.1,201,Sweden,4,3,3,433,10
238,12640,23,53,1174.58,311,France,2,2,2,222,6
239,12641,115,10,185.9,72,Sweden,3,4,4,344,11
240,12642,25,47,1013.26,552,Germany,2,2,2,222,6
241,12643,128,24,3344.6399999999994,1808,France,3,3,1,331,7
242,12644,129,31,477.91,325,Germany,3,3,3,333,9
243,12645,33,73,1775.1800000000003,1084,Germany,2,2,1,221,5
244,12646,4,45,1346.97,897,USA,1,2,2,122,5
245,12647,22,122,3722.82,1432,Germany,2,1,1,211,4
246,12648,154,21,318.04999999999995,160,Germany,4,3,3,433,10
247,12649,107,31,623.51,586,Germany,3,3,3,333,9
248,12650,3,20,314.44,254,France,1,3,3,133,7
249,12651,334,9,114.0,78,France,4,4,4,444,12
250,12652,331,48,919.98,505,France,4,2,2,422,8
251,12653,148,43,2209.85,919,Israel,4,2,1,421,7
252,12654,10,38,601.9799999999999,264,Germany,1,3,3,133,7
253,12656,17,126,4051.17,1723,France,1,1,1,111,3
254,12657,11,47,1643.18,1044,France,1,2,2,122,5
255,12658,18,36,686.05,320,Germany,2,3,2,232,7
256,12659,29,5,91.68,105,France,2,4,4,244,10
257,12660,11,13,245.1,127,France,1,4,4,144,9
258,12662,0,230,3849.78,2058,Germany,1,1,1,111,3
259,12664,8,37,4881.88,1203,Finland,1,3,1,131,5
260,12665,324,3,63.0,37,Germany,4,4,4,444,12
261,12667,58,33,620.1300000000001,395,Finland,3,3,3,333,9
262,12668,11,161,3807.15,1634,Germany,1,1,1,111,3
263,12669,150,101,2744.03,1115,France,4,1,1,411,6
264,12670,10,92,2996.05,1397,France,1,2,1,121,4
265,12672,329,10,225.9,78,France,4,4,4,444,12
266,12673,5,42,610.52,351,Germany,1,2,3,123,6
267,12674,38,83,1970.6,1133,France,2,2,1,221,5
268,12676,24,45,1331.39,670,Sweden,2,2,2,222,6
269,12678,42,165,17628.46,10923,France,2,1,1,211,4
270,12679,58,48,1113.02,554,France,3,2,2,322,7
271,12680,0,52,862.8100000000002,443,France,1,2,2,122,5
272,12681,14,638,13787.54,7536,France,1,1,1,111,3
273,12682,3,524,12279.82,5555,France,1,1,1,111,3
274,12683,4,344,8476.57,4987,France,1,1,1,111,3
275,12684,7,105,2283.63,1985,France,1,1,1,111,3
276,12685,28,157,2863.08,1523,France,2,1,1,211,4
277,12686,371,7,89.14,107,France,4,4,4,444,12
278,12688,113,171,4873.81,3028,Israel,3,1,1,311,5
279,12689,25,72,1247.61,628,France,2,2,2,222,6
280,12690,205,16,389.01,106,France,4,4,3,443,11
281,12691,28,32,1035.8,394,France,2,3,2,232,7
282,12693,127,39,855.91,255,Germany,3,3,2,332,8
283,12694,70,37,869.67,509,France,3,3,2,332,8
284,12695,7,27,582.1,220,France,1,3,3,133,7
285,12697,28,41,957.59,508,Sweden,2,3,2,232,7
286,12700,7,268,4939.99,2967,France,1,1,1,111,3
287,12701,79,53,797.71,678,Germany,3,2,2,322,7
288,12702,19,12,219.0,53,Germany,2,4,4,244,10
289,12703,71,21,283.55,164,Germany,3,3,4,334,10
290,12704,7,88,2340.84,1006,Finland,1,2,1,121,4
291,12705,15,334,6868.290000000001,3997,Germany,1,1,1,111,3
292,12707,291,33,603.42,256,France,4,3,3,433,10
293,12708,29,157,2712.91,1307,Germany,2,1,1,211,4
294,12709,15,207,9706.52,3912,Germany,1,1,1,111,3
295,12710,96,77,1149.0200000000002,851,Germany,3,2,2,322,7
296,12712,28,133,4396.13,1062,Germany,2,1,1,211,4
297,12713,0,38,848.5500000000001,508,Germany,1,3,2,132,6
298,12714,9,259,4708.860000000001,3069,France,1,1,1,111,3
299,12715,106,20,343.36,192,Sweden,3,3,3,333,9
300,12716,3,69,1053.4900000000002,708,France,1,2,2,122,5
301,12717,151,55,1030.98,506,Greece,4,2,2,422,8
302,12718,71,19,238.25,203,France,3,3,4,334,10
303,12719,5,39,644.95,374,France,1,3,3,133,7
304,12720,2,354,5781.730000000001,4672,Germany,1,1,1,111,3
